Time-(UTC),Latitude-(degN),Longitude-(degE),Secchi-depth-(m),FU-(disk-1/2-Secchi-depth)
2024-05-29 13:19:26.087,32.77129336083804,-79.92489306146987,1.29,15
2024-05-29 13:29:31.470,32.77629545125761,-79.95416148262737,0.6,17
2024-05-29 13:43:55.271,32.78813576085084,-79.96348600121715,0.52,16
2024-05-29 14:09:38.896,32.75091708522183,-79.95016871367035,0.64,16
2024-05-29 14:36:47.172,32.76286007839512,-79.85607870861874,1.27,15
2024-05-29 14:38:31.292,32.76288367634227,-79.85611468642936,0.87,15
2024-06-01 18:13:39.497,28.946547752773032,-80.83836221385289,0.8,14
2024-06-02 15:48:43.053,39.1514988,-76.5045973,0.45,11
2024-06-04 00:17:22.141,39.1507986,-76.5058296,1.0,16
2024-06-05 12:31:35.967,32.82429322268659,-79.88974995807925,1.27,16
2024-06-05 12:43:43.928,32.82520731660922,-79.87756267561551,1.06,18
2024-06-05 13:01:14.554,32.85530427433938,-79.90156287830203,1.0,18
2024-06-05 13:19:47.171,32.771754139260665,-79.9252371278528,0.66,15
2024-06-05 14:11:54.186,32.7511315856613,-79.95012620540163,0.36,19
2024-06-05 14:41:16.771,32.76184099163884,-79.85582629556164,0.61,14
2024-06-09 13:50:13.895,34.0889791,-77.881583,1.3,13
2024-06-10 17:16:32.189,29.030477970759772,-80.91764063823418,0.9,13
2024-06-12 12:52:51.765,32.829007457974264,-79.99008876763875,0.42,18
2024-06-12 14:18:48.849,32.659960533809816,-79.94512719576669,0.61,8
2024-06-12 23:51:57.443,28.97624664011316,-80.91406591244127,0.7,15
2024-06-14 12:05:48.384,27.07278835201125,-82.45258000996523,0.81,12
2024-06-15 21:36:54.776,39.1844639,-76.3973322,1.3,16
2024-06-16 12:06:03.389,27.072607107359048,-82.45252142051076,1.21,12
2024-06-19 12:28:10.123,32.835272303812985,-79.98676221825181,0.49,19
2024-06-22 23:39:24.744,38.9031699,-77.0811123,1.23,14
2024-06-25 20:11:53.392,38.156490759028266,-76.42744386575784,1.87,13
2024-06-26 11:58:57.243,32.793068368136296,-79.87661943563342,0.65,15
2024-06-26 12:13:04.240,32.79030124109118,-79.88491670310874,0.68,18
2024-06-26 12:36:17.290,32.82514700669127,-79.8774554953723,0.78,18
2024-06-26 12:44:51.926,32.825217510527764,-79.87743708225308,0.7,17
2024-06-26 13:27:43.775,32.77663818289112,-79.95394245601649,0.42,17
2024-06-26 13:39:34.189,32.78828985269073,-79.96354287604038,0.25,16
2024-06-26 14:05:45.258,32.750902203873565,-79.95020572103554,0.5,16
2024-06-26 14:21:33.264,32.75537212239823,-79.91575486940643,0.86,18
2024-06-30 00:19:42.503,36.5065144,-77.8424767,1.58,14
2024-06-30 22:00:06.806,29.027254445963685,-80.91929857286097,0.6,13
2024-07-01 17:52:20.526,28.94654817841778,-80.83838320125,0.9,11
2024-07-10 12:04:42.213,32.79340947515591,-79.87621447078872,0.72,18
2024-07-10 12:19:31.428,32.7902828390678,-79.88491784570498,0.74,18
2024-07-10 12:27:51.048,32.83528843897659,-79.98657865457236,0.25,18
2024-07-10 12:45:09.217,32.82431627626801,-79.88966415643682,0.86,18
2024-07-10 12:53:15.447,32.82520001488593,-79.87735366399427,0.59,18
2024-07-10 13:10:07.655,32.74450454863975,-79.97115293525157,0.38,16
2024-07-10 13:14:24.809,32.85550959432613,-79.90145045744322,0.74,17
2024-07-10 13:37:30.632,32.66839506573292,-79.99762265019119,0.4,13
